Name,TaxID,Lineage,Count,Proportion_All(%),Proportion_Classified(%)
Phenylobacterium immobile,21,cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; Caulobacterales; Caulobacteraceae; Phenylobacterium; Phenylobacterium immobile,3,0.001056,0.015481
Nannocystis,53,cellular organisms; Bacteria; Myxococcota; Polyangia; Nannocystales; Nannocystaceae; Nannocystis,3,0.001056,0.015481
Myxococcus,32,cellular organisms; Bacteria; Myxococcota; Myxococcia; Myxococcales; Cystobacterineae; Myxococcaceae; Myxococcus,3,0.001056,0.015481
Dictyoglomus,13,cellular organisms; Bacteria; Dictyoglomota; Dictyoglomia; Dictyoglomales; Dictyoglomaceae; Dictyoglomus,3,0.001056,0.015481
Shewanella putrefaciens,24,cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Alteromonadales; Shewanellaceae; Shewanella; Shewanella putrefaciens,3,0.001056,0.015481
Myxococcaceae,31,cellular organisms; Bacteria; Myxococcota; Myxococcia; Myxococcales; Cystobacterineae; Myxococcaceae,3,0.001056,0.015481
Unknown (taxid 12),12,taxid_12,2,0.000704,0.01032
Simonsiella,71,cellular organisms; Bacteria; Pseudomonadota; Betaproteobacteria; Neisseriales; Neisseriaceae; Simonsiella,2,0.000704,0.01032
Myxococcus fulvus,33,cellular organisms; Bacteria; Myxococcota; Myxococcia; Myxococcales; Cystobacterineae; Myxococcaceae; Myxococcus; Myxococcus fulvus,2,0.000704,0.01032
Stigmatella aurantiaca,41,cellular organisms; Bacteria; Myxococcota; Myxococcia; Myxococcales; Cystobacterineae; Archangiaceae; Stigmatella; Stigmatella aurantiaca,2,0.000704,0.01032
Unknown (taxid 15),15,taxid_15,2,0.000704,0.01032
Orientia tsutsugamushi,784,cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; Rickettsiales; Rickettsiaceae; Rickettsieae; Orientia; Orientia tsutsugamushi,1,0.000352,0.00516
Flectobacillus major,103,cellular organisms; Bacteria; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Cytophagia; Cytophagales; Spirosomataceae; Flectobacillus; Flectobacillus major,1,0.000352,0.00516
Sediminispirochaeta bajacaliforniensis,148,cellular organisms; Bacteria; Spirochaetota; Spirochaetia; Spirochaetales; Spirochaetaceae; Sediminispirochaeta; Sediminispirochaeta bajacaliforniensis,1,0.000352,0.00516
Debaryomyces,4958,cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; CUG-Ser1 clade; Debaryomycetaceae; Debaryomyces,1,0.000352,0.00516
Unknown (taxid 20287210132),20287210132,taxid_20287210132,1,0.000352,0.00516
Rhodococcus erythropolis,1833,cellular organisms; Bacteria; Terrabacteria group; Actinomycetota; Actinomycetes; Mycobacteriales; Nocardiaceae; Rhodococcus; Rhodococcus erythropolis group; Rhodococcus erythropolis,1,0.000352,0.00516
Unknown (taxid 1136),1136,taxid_1136,1,0.000352,0.00516
Campylobacter concisus,199,cellular organisms; Bacteria; Campylobacterota; Epsilonproteobacteria; Campylobacterales; Campylobacteraceae; Campylobacter; Campylobacter concisus,1,0.000352,0.00516
Atypical cytopathic virus,37140,Viruses; Duplodnaviria; Heunggongvirae; Peploviricota; Herviviricetes; Herpesvirales; Orthoherpesviridae; Betaherpesvirinae; unclassified Betaherpesvirinae; Atypical cytopathic virus,1,0.000352,0.00516
Unknown (taxid 8955568),8955568,taxid_8955568,1,0.000352,0.00516
Pasteurella langaaensis,756,cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Pasteurellales; Pasteurellaceae; Pasteurella; Pasteurella langaaensis,1,0.000352,0.00516
Zoogloea ramigera,350,cellular organisms; Bacteria; Pseudomonadota; Betaproteobacteria; Rhodocyclales; Zoogloeaceae; Zoogloea; Zoogloea ramigera,1,0.000352,0.00516
Streptomyces sp. YIM 56057,513244,cellular organisms; Bacteria; Terrabacteria group; Actinomycetota; Actinomycetes; Kitasatosporales; Streptomycetaceae; Streptomyces; unclassified Streptomyces; Streptomyces sp. YIM 56057,1,0.000352,0.00516
Salmonella enterica subsp. enterica serovar Gallinarum/Pullorum,604,cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica; Salmonella enterica subsp. enterica; Salmonella enterica subsp. enterica serovar Gallinarum/Pullorum,1,0.000352,0.00516
Unknown (taxid 30),30,taxid_30,1,0.000352,0.00516
Trichodesmium,1205,cellular organisms; Bacteria; Terrabacteria group; Cyanobacteriota/Melainabacteria group; Cyanobacteriota; Cyanophyceae; Oscillatoriophycideae; Oscillatoriales; Microcoleaceae; Trichodesmium,1,0.000352,0.00516
Unknown (taxid 1309054),1309054,taxid_1309054,1,0.000352,0.00516
Unknown (taxid 49911424),49911424,taxid_49911424,1,0.000352,0.00516
Unknown (taxid 4446672),4446672,taxid_4446672,1,0.000352,0.00516
Neisseria meningitidis,487,cellular organisms; Bacteria; Pseudomonadota; Betaproteobacteria; Neisseriales; Neisseriaceae; Neisseria; Neisseria meningitidis,1,0.000352,0.00516
Unknown (taxid 37),37,taxid_37,1,0.000352,0.00516
Unknown (taxid 377),377,taxid_377,1,0.000352,0.00516
Unknown (taxid 3748431152),3748431152,taxid_3748431152,1,0.000352,0.00516
Melittangium,44,cellular organisms; Bacteria; Myxococcota; Myxococcia; Myxococcales; Cystobacterineae; Archangiaceae; Melittangium,1,0.000352,0.00516
Caulobacter sp.,78,cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; Caulobacterales; Caulobacteraceae; Caulobacter; unclassified Caulobacter; Caulobacter sp.,1,0.000352,0.00516
Treponema pallidum subsp. pallidum,161,cellular organisms; Bacteria; Spirochaetota; Spirochaetia; Spirochaetales; Treponemataceae; Treponema; Treponema pallidum; Treponema pallidum subsp. pallidum,1,0.000352,0.00516
Unknown (taxid 73),73,taxid_73,1,0.000352,0.00516
Herpetosiphon,64,cellular organisms; Bacteria; Terrabacteria group; Chloroflexota; Chloroflexia; Herpetosiphonales; Herpetosiphonaceae; Herpetosiphon,1,0.000352,0.00516
Harveya hyobanchoides,332467,cellular organisms; Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Embryophyta; Tracheophyta; Euphyllophyta; Spermatophyta; Magnoliopsida; Mesangiospermae; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Lamiales; Orobanchaceae; Buchnereae; Harveya; Harveya hyobanchoides,1,0.000352,0.00516
Miniopterus schreibersii,9433,cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Miniopteridae; Miniopterus; Miniopterus schreibersii,1,0.000352,0.00516
Unknown (taxid 473),473,taxid_473,1,0.000352,0.00516
Stigmatella,40,cellular organisms; Bacteria; Myxococcota; Myxococcia; Myxococcales; Cystobacterineae; Archangiaceae; Stigmatella,1,0.000352,0.00516
Gimesia maris,122,cellular organisms; Bacteria; PVC group; Planctomycetota; Planctomycetia; Planctomycetales; Planctomycetaceae; Gimesia; Gimesia maris,1,0.000352,0.00516
Loigolactobacillus coryniformis,1610,cellular organisms; Bacteria; Terrabacteria group; Bacillota; Bacilli; Lactobacillales; Lactobacillaceae; Loigolactobacillus; Loigolactobacillus coryniformis,1,0.000352,0.00516
Doto floridicola,154645,cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Spiralia; Lophotrochozoa; Mollusca; Gastropoda; Heterobranchia; Euthyneura; Nudipleura; Nudibranchia; Cladobranchia; Dendronotoidea; Dotidae; Doto; Doto floridicola,1,0.000352,0.00516
Chondromyces,50,cellular organisms; Bacteria; Myxococcota; Polyangia; Polyangiales; Polyangiaceae; Chondromyces,1,0.000352,0.00516
Unknown (taxid 45191020),45191020,taxid_45191020,1,0.000352,0.00516
Polyangiaceae,49,cellular organisms; Bacteria; Myxococcota; Polyangia; Polyangiales; Polyangiaceae,1,0.000352,0.00516
Myrtaceae,3931,cellular organisms; Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Embryophyta; Tracheophyta; Euphyllophyta; Spermatophyta; Magnoliopsida; Mesangiospermae; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Myrtales; Myrtaceae,1,0.000352,0.00516
Unknown (taxid 66),66,taxid_66,1,0.000352,0.00516
Unknown (taxid 12226553),12226553,taxid_12226553,1,0.000352,0.00516
Unknown (taxid 46),46,taxid_46,1,0.000352,0.00516
Unknown (taxid 269),269,taxid_269,1,0.000352,0.00516
Achromobacter,222,cellular organisms; Bacteria; Pseudomonadota; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Achromobacter,1,0.000352,0.00516
Aquaspirillum serpens,190,cellular organisms; Bacteria; Pseudomonadota; Betaproteobacteria; Neisseriales; Aquaspirillaceae; Aquaspirillum; Aquaspirillum serpens,1,0.000352,0.00516
Cystobacter,42,cellular organisms; Bacteria; Myxococcota; Myxococcia; Myxococcales; Cystobacterineae; Archangiaceae; Cystobacter,1,0.000352,0.00516
Paracoccus denitrificans,266,cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; Rhodobacterales; Paracoccaceae; Paracoccus; Paracoccus denitrificans,1,0.000352,0.00516
Cystobacter fuscus,43,cellular organisms; Bacteria; Myxococcota; Myxococcia; Myxococcales; Cystobacterineae; Archangiaceae; Cystobacter; Cystobacter fuscus,1,0.000352,0.00516
Unknown (taxid 74),74,taxid_74,1,0.000352,0.00516
Archangium,47,cellular organisms; Bacteria; Myxococcota; Myxococcia; Myxococcales; Cystobacterineae; Archangiaceae; Archangium,1,0.000352,0.00516
Brucella ovis,236,cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; Hyphomicrobiales; Brucellaceae; Brucella/Ochrobactrum group; Brucella; Brucella ovis,1,0.000352,0.00516
Unknown (taxid 695),695,taxid_695,1,0.000352,0.00516
Raoultella terrigena,577,cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Klebsiella/Raoultella group; Raoultella; Raoultella terrigena,1,0.000352,0.00516
Unknown (taxid 402060),402060,taxid_402060,1,0.000352,0.00516
Unknown (taxid 7877),7877,taxid_7877,1,0.000352,0.00516
Dasineura sp. BIOUG31896-E06,2401752,cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Hexapoda; Insecta; Dicondylia; Pterygota; Neoptera; Endopterygota; Diptera; Nematocera; Bibionomorpha; Sciaroidea; Cecidomyiidae; Cecidomyiinae; Lasiopteridi; Dasineurini; Dasineura; unclassified Dasineura; Dasineura sp. BIOUG31896-E06,1,0.000352,0.00516
Helicobacter mustelae,217,cellular organisms; Bacteria; Campylobacterota; Epsilonproteobacteria; Campylobacterales; Helicobacteraceae; Helicobacter; Helicobacter mustelae,1,0.000352,0.00516
Hamamelis virginiana,4397,cellular organisms; Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Embryophyta; Tracheophyta; Euphyllophyta; Spermatophyta; Magnoliopsida; Mesangiospermae; eudicotyledons; Gunneridae; Pentapetalae; Saxifragales; Hamamelidaceae; Hamamelis; Hamamelis virginiana,1,0.000352,0.00516
Sycettidae,45125,cellular organisms; Eukaryota; Opisthokonta; Metazoa; Porifera; Calcarea; Calcaronea; Leucosolenida; Sycettidae,1,0.000352,0.00516
Actinobacillus seminis,722,cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Pasteurellales; Pasteurellaceae; Actinobacillus; Actinobacillus seminis,1,0.000352,0.00516
Bacteroides fragilis,817,cellular organisms; Bacteria; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides; Bacteroides fragilis,1,0.000352,0.00516
Vitreoscilla stercoraria,61,cellular organisms; Bacteria; Pseudomonadota; Betaproteobacteria; Neisseriales; Neisseriaceae; Vitreoscilla; Vitreoscilla stercoraria,1,0.000352,0.00516
Unknown (taxid 250433491),250433491,taxid_250433491,1,0.000352,0.00516
Streptococcus pyogenes,1314,cellular organisms; Bacteria; Terrabacteria group; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus pyogenes,1,0.000352,0.00516
Unknown (taxid 230),230,taxid_230,1,0.000352,0.00516
Unknown (taxid 3855633),3855633,taxid_3855633,1,0.000352,0.00516
Anaplasma marginale,770,cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; Rickettsiales; Anaplasmataceae; Anaplasma; Anaplasma marginale,1,0.000352,0.00516
Shewanella,22,cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Alteromonadales; Shewanellaceae; Shewanella,1,0.000352,0.00516
Polyangium,55,cellular organisms; Bacteria; Myxococcota; Polyangia; Polyangiales; Polyangiaceae; Polyangium,1,0.000352,0.00516
Hyphomicrobium vulgare,83,cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; Hyphomicrobiales; Hyphomicrobiaceae; Hyphomicrobium; Hyphomicrobium vulgare,1,0.000352,0.00516
Unknown (taxid 77),77,taxid_77,1,0.000352,0.00516
Unknown (taxid 23157),23157,taxid_23157,1,0.000352,0.00516
Legionella maceachernii,466,cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Legionellales; Legionellaceae; Legionella; Legionella maceachernii,1,0.000352,0.00516
Shewanella hanedai,25,cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Alteromonadales; Shewanellaceae; Shewanella; Shewanella hanedai,1,0.000352,0.00516
Callinectes,6762,cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Crustacea; Multicrustacea; Malacostraca; Eumalacostraca; Eucarida; Decapoda; Pleocyemata; Brachyura; Eubrachyura; Heterotremata; Portunoidea; Portunidae; Portuninae; Callinectes,1,0.000352,0.00516
Sipunculidae,6440,cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Spiralia; Lophotrochozoa; Annelida; Sipuncula; Sipunculidea; Golfingiida; Sipunculidae,1,0.000352,0.00516
Rahnella sp. 71-Salad,678994,cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Rahnella; unclassified Rahnella; Rahnella sp. 71-Salad,1,0.000352,0.00516
Brachyspira hyodysenteriae,159,cellular organisms; Bacteria; Spirochaetota; Spirochaetia; Brachyspirales; Brachyspiraceae; Brachyspira; Brachyspira hyodysenteriae,1,0.000352,0.00516
Cryptosaras couesi symbiont,704,cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Vibrionales; Vibrionaceae; Vibrionaceae incertae sedis; light emitting symbionts of fish; Cryptosaras couesi symbiont,1,0.000352,0.00516
Unknown (taxid 39210),39210,taxid_39210,1,0.000352,0.00516
Unknown (taxid 33158668),33158668,taxid_33158668,1,0.000352,0.00516
Leptothrix discophora,89,cellular organisms; Bacteria; Pseudomonadota; Betaproteobacteria; Burkholderiales; Sphaerotilaceae; Leptothrix; Leptothrix discophora,1,0.000352,0.00516
Nitratidesulfovibrio vulgaris str. 'Miyazaki F',883,cellular organisms; Bacteria; Thermodesulfobacteriota; Desulfovibrionia; Desulfovibrionales; Desulfovibrionaceae; Nitratidesulfovibrio; Nitratidesulfovibrio vulgaris; Nitratidesulfovibrio vulgaris str. 'Miyazaki F',1,0.000352,0.00516
Cellvibrio,10,cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Cellvibrionales; Cellvibrionaceae; Cellvibrio,1,0.000352,0.00516
Shewanella colwelliana,23,cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Alteromonadales; Shewanellaceae; Shewanella; Shewanella colwelliana,1,0.000352,0.00516
Helicobacter cinaedi,213,cellular organisms; Bacteria; Campylobacterota; Epsilonproteobacteria; Campylobacterales; Helicobacteraceae; Helicobacter; Helicobacter cinaedi,1,0.000352,0.00516
Hyphomonas,85,cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; Hyphomonadales; Hyphomonadaceae; Hyphomonas,1,0.000352,0.00516
Unknown (taxid 245514),245514,taxid_245514,1,0.000352,0.00516
Human papillomavirus 15,10606,Viruses; Monodnaviria; Shotokuvirae; Cossaviricota; Papovaviricetes; Zurhausenvirales; Papillomaviridae; Firstpapillomavirinae; Betapapillomavirus; Betapapillomavirus 2; Human papillomavirus 15,1,0.000352,0.00516
Unknown (taxid 261),261,taxid_261,1,0.000352,0.00516
Pseudomonas sp. KKS102,307,cellular organisms; Bacteria; Pseudomonadota; Pseudomonadota incertae sedis; unclassified pseudomonads; Pseudomonas sp. KKS102,1,0.000352,0.00516
Methylosinus trichosporium,426,cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; Hyphomicrobiales; Methylocystaceae; Methylosinus; Methylosinus trichosporium,1,0.000352,0.00516
Unknown (taxid 3797834),3797834,taxid_3797834,1,0.000352,0.00516
Menispermaceae,3455,cellular organisms; Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Embryophyta; Tracheophyta; Euphyllophyta; Spermatophyta; Magnoliopsida; Mesangiospermae; Ranunculales; Menispermaceae,1,0.000352,0.00516
Gallionella,96,cellular organisms; Bacteria; Pseudomonadota; Betaproteobacteria; Nitrosomonadales; Gallionellaceae; Gallionella,1,0.000352,0.00516
Vitreoscilla beggiatoides,62,cellular organisms; Bacteria; Pseudomonadota; Betaproteobacteria; Neisseriales; Neisseriaceae; Vitreoscilla; Vitreoscilla beggiatoides,1,0.000352,0.00516
Unknown (taxid 2614),2614,taxid_2614,1,0.000352,0.00516
UNKNOWN,NA,,264716,93.17869,0
