Name,TaxID,Lineage,Count,Proportion_All(%),Proportion_Classified(%)
Acetivibrio thermocellus,1515,cellular organisms;Bacillota;Clostridia;Acetivibrionales;Acetivibrionaceae;Acetivibrio,113,0.00687009,0.0426831
Aliivibrio salmonicida,40269,cellular organisms;Pseudomonadota;Gammaproteobacteria;Vibrionales;Vibrionaceae;,9763,0.593564,3.68774
Aliivibrio wodanis,80852,cellular organisms;Pseudomonadota;Gammaproteobacteria;Vibrionales;Vibrionaceae;,12301,0.747867,4.64641
Alloalcanivorax dieselolei,285091,cellular organisms;Pseudomonadota;Gammaproteobacteria;Oceanospirillales;Alcanivoracaceae;Alloalcanivorax,2,0.000121595,0.000755452
Alloyangia sp.,2919629,cellular organisms;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Roseobacteraceae;Alloyangia,695,0.0422541,0.26252
Altererythrobacter epoxidivorans,361183,cellular organisms;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Altererythrobacter,11,0.00066877,0.00415499
Altererythrobacter ishigakiensis,476157,cellular organisms;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Altererythrobacter,5,0.000303986,0.00188863
Alteromonas australica,589873,cellular organisms;Pseudomonadota;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas,119,0.00723487,0.0449494
Alteromonas macleodii,28108,cellular organisms;Pseudomonadota;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas,17729,1.07787,6.69671
Alteromonas mediterranea,314275,cellular organisms;Pseudomonadota;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas,7037,0.42783,2.65806
Alteromonas sp.,232,cellular organisms;Pseudomonadota;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas,620,0.0376943,0.23419
Alteromonas stellipolaris,233316,cellular organisms;Pseudomonadota;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas,430,0.0261428,0.162422
Aquiluna sp.,2053504,cellular organisms;Actinomycetota;;Micrococcales;Microbacteriaceae;Aquiluna,105,0.00638371,0.0396613
Arcanobacterium phocae,131112,cellular organisms;Actinomycetota;;Actinomycetales;Actinomycetaceae;Arcanobacterium,24,0.00145913,0.00906543
Archaeoglobus fulgidus,2234,cellular organisms;Methanobacteriota;Archaeoglobi;Archaeoglobales;Archaeoglobaceae;Archaeoglobus,939,0.0570886,0.354685
Archaeoglobus profundus,84156,cellular organisms;Methanobacteriota;Archaeoglobi;Archaeoglobales;Archaeoglobaceae;Archaeoglobus,1,6.07973e-05,0.000377726
Archaeoglobus veneficus,58290,cellular organisms;Methanobacteriota;Archaeoglobi;Archaeoglobales;Archaeoglobaceae;Archaeoglobus,2,0.000121595,0.000755452
Arthrobacter sp.,1667,cellular organisms;Actinomycetota;;Micrococcales;Micrococcaceae;Arthrobacter,9,0.000547175,0.00339954
Aurantiacibacter atlanticus,1648404,cellular organisms;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Aurantiacibacter,48,0.00291827,0.0181309
Aurantiacibacter gangjinensis,502682,cellular organisms;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Aurantiacibacter,42,0.00255348,0.0158645
Bacillus infantis,324767,cellular organisms;Bacillota;Bacilli;Bacillales;Bacillaceae;Bacillus,248,0.0150777,0.0936761
Bacillus pumilus,1408,cellular organisms;Bacillota;Bacilli;Bacillales;Bacillaceae;Bacillus,371,0.0225558,0.140136
Bacillus safensis,561879,cellular organisms;Bacillota;Bacilli;Bacillales;Bacillaceae;Bacillus,274,0.0166584,0.103497
Bacillus sp. (in: firmicutes),1409,cellular organisms;Bacillota;Bacilli;Bacillales;Bacillaceae;Bacillus,130,0.00790364,0.0491044
Bacillus velezensis,492670,cellular organisms;Bacillota;Bacilli;Bacillales;Bacillaceae;Bacillus,121,0.00735647,0.0457049
Bdellovibrio bacteriovorus,959,cellular organisms;Bdellovibrionota;Bdellovibrionia;Bdellovibrionales;Pseudobdellovibrionaceae;Bdellovibrio,146,0.0088764,0.055148
Belliella baltica,232259,cellular organisms;Bacteroidota;Cytophagia;Cytophagales;Cyclobacteriaceae;Belliella,4,0.000243189,0.0015109
Bernardetia litoralis,999,cellular organisms;Bacteroidota;Cytophagia;Cytophagales;Bernardetiaceae;Bernardetia,154,0.00936278,0.0581698
Brevundimonas,41275,cellular organisms;Pseudomonadota;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;,107,0.00650531,0.0404167
Brucella ceti,120577,cellular organisms;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Brucellaceae;Brucella,72,0.0043774,0.0271963
Brucella pinnipedialis,120576,cellular organisms;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Brucellaceae;Brucella,38,0.0023103,0.0143536
Brucella sp.,52132,cellular organisms;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Brucellaceae;Brucella,29,0.00176312,0.0109541
Brumicola nitratireducens,300231,cellular organisms;Pseudomonadota;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Brumicola,192,0.0116731,0.0725234
Caldithrix abyssi,187145,cellular organisms;Calditrichota;Calditrichia;Calditrichales;Calditrichaceae;Caldithrix,2,0.000121595,0.000755452
Campylobacter lari,201,cellular organisms;Campylobacterota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter,11,0.00066877,0.00415499
Campylobacter peloridis,488546,cellular organisms;Campylobacterota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter,31,0.00188472,0.0117095
Candidatus Aciduliprofundum boonei,379547,cellular organisms;Thermoplasmatota;;;;Candidatus Aciduliprofundum,120,0.00729567,0.0453271
Candidatus Aciduliprofundum sp. MAR08-339,673860,cellular organisms;Thermoplasmatota;;;;Candidatus Aciduliprofundum,20,0.00121595,0.00755452
Candidatus Endolissoclinum faulkneri,1263979,cellular organisms;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Candidatus Endolissoclinum,2404,0.146157,0.908054
Candidatus Filomicrobium marinum,1608628,cellular organisms;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Hyphomicrobiaceae;Filomicrobium,196,0.0119163,0.0740343
Candidatus Nitrosarchaeum limnium,1007084,cellular organisms;Nitrososphaerota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;Nitrosarchaeum,2,0.000121595,0.000755452
Candidatus Nitrosopumilus koreensis,1510466,cellular organisms;Nitrososphaerota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;Nitrosopumilus,19,0.00115515,0.0071768
Candidatus Nitrosopumilus sp.,2024843,cellular organisms;Nitrososphaerota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;Nitrosopumilus,364,0.0221302,0.137492
Candidatus Pelagibacter sp.,2024849,cellular organisms;Pseudomonadota;Alphaproteobacteria;Candidatus Pelagibacterales;Candidatus Pelagibacteraceae;Candidatus Pelagibacter,1,6.07973e-05,0.000377726
Candidatus Pelagibacter ubique HTCC1062,335992,cellular organisms;Pseudomonadota;Alphaproteobacteria;Candidatus Pelagibacterales;Candidatus Pelagibacteraceae;Candidatus Pelagibacter,1,6.07973e-05,0.000377726
Candidatus Puniceispirillum marinum,767892,cellular organisms;Pseudomonadota;Alphaproteobacteria;Candidatus Puniceispirillales;Candidatus Puniceispirillaceae;Candidatus Puniceispirillum,1,6.07973e-05,0.000377726
Candidatus Thioglobus sp.,2026721,cellular organisms;Pseudomonadota;Gammaproteobacteria;;Candidatus Pseudothioglobaceae;Candidatus Thioglobus,1,6.07973e-05,0.000377726
Candidatus Vesicomyidisocius calyptogenae,412965,cellular organisms;Pseudomonadota;Gammaproteobacteria;;Candidatus Pseudothioglobaceae;Candidatus Vesicomyidisocius,2,0.000121595,0.000755452
Carnobacterium divergens,2748,cellular organisms;Bacillota;Bacilli;Lactobacillales;Carnobacteriaceae;Carnobacterium,39,0.00237109,0.0147313
Carnobacterium sp.,48221,cellular organisms;Bacillota;Bacilli;Lactobacillales;Carnobacteriaceae;Carnobacterium,4,0.000243189,0.0015109
Celeribacter indicus,1208324,cellular organisms;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Roseobacteraceae;Celeribacter,15,0.000911959,0.00566589
Celeribacter marinus,1397108,cellular organisms;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Roseobacteraceae;Celeribacter,76,0.00462059,0.0287072
Cellulophaga algicola,59600,cellular organisms;Bacteroidota;Flavobacteriia;Flavobacteriales;;Cellulophaga,8,0.000486378,0.00302181
Cellulophaga baltica,76594,cellular organisms;Bacteroidota;Flavobacteriia;Flavobacteriales;;Cellulophaga,50,0.00303986,0.0188863
Cellulophaga lytica,979,cellular organisms;Bacteroidota;Flavobacteriia;Flavobacteriales;;Cellulophaga,22,0.00133754,0.00830998
Cenarchaeum symbiosum A,414004,cellular organisms;Nitrososphaerota;;Candidatus Cenarchaeales;Candidatus Cenarchaeaceae;Candidatus Cenarchaeum,25,0.00151993,0.00944316
Cereibacter sphaeroides,1063,cellular organisms;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Cereibacter,322,0.0195767,0.121628
Chlorobium phaeobacteroides,1096,cellular organisms;Chlorobiota;Chlorobiia;Chlorobiales;Chlorobiaceae;Chlorobium,6,0.000364784,0.00226636
Chlorobium phaeovibrioides,1094,cellular organisms;Chlorobiota;Chlorobiia;Chlorobiales;Chlorobiaceae;Chlorobium,72,0.0043774,0.0271963
Chloroherpeton thalassium,100716,cellular organisms;Chlorobiota;Chlorobiia;Chlorobiales;Chloroherpetonaceae;Chloroherpeton,1178,0.0716192,0.444962
Christiangramia forsetii KT0803,411154,cellular organisms;Bacteroidota;Flavobacteriia;Flavobacteriales;;Christiangramia,129,0.00784285,0.0487267
Christiangramia sp.,1931228,cellular organisms;Bacteroidota;Flavobacteriia;Flavobacteriales;;Christiangramia,205,0.0124634,0.0774339
Chromohalobacter israelensis,141390,cellular organisms;Pseudomonadota;Gammaproteobacteria;Oceanospirillales;Halomonadaceae;Chromohalobacter,13,0.000790364,0.00491044
Citromicrobium sp.,2024827,cellular organisms;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Citromicrobium,88,0.00535016,0.0332399
Clostridium botulinum,1491,cellular organisms;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium,1383,0.0840826,0.522395
Clostridium tetani,1513,cellular organisms;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium,12,0.000729567,0.00453271
Coccidioides immitis,5501,cellular organisms;Ascomycota;Eurotiomycetes;Onygenales;Onygenaceae;Coccidioides,11,0.00066877,0.00415499
Colwellia psychrerythraea,28229,cellular organisms;Pseudomonadota;Gammaproteobacteria;Alteromonadales;Colwelliaceae;Colwellia,808,0.0491242,0.305203
Colwellia sp.,56799,cellular organisms;Pseudomonadota;Gammaproteobacteria;Alteromonadales;Colwelliaceae;Colwellia,98,0.00595813,0.0370172
Coraliomargarita akajimensis,395922,cellular organisms;Verrucomicrobiota;Opitutia;Puniceicoccales;Coraliomargaritaceae;Coraliomargarita,2,0.000121595,0.000755452
Corynebacterium marinum,349751,cellular organisms;Actinomycetota;;Mycobacteriales;Corynebacteriaceae;Corynebacterium,10,0.000607973,0.00377726
Corynebacterium maris,575200,cellular organisms;Actinomycetota;;Mycobacteriales;Corynebacteriaceae;Corynebacterium,3,0.000182392,0.00113318
Corynebacterium phocae,161895,cellular organisms;Actinomycetota;;Mycobacteriales;Corynebacteriaceae;Corynebacterium,205,0.0124634,0.0774339
Corynebacterium sphenisci,191493,cellular organisms;Actinomycetota;;Mycobacteriales;Corynebacteriaceae;Corynebacterium,35,0.0021279,0.0132204
Corynebacterium stationis,1705,cellular organisms;Actinomycetota;;Mycobacteriales;Corynebacteriaceae;Corynebacterium,4,0.000243189,0.0015109
Croceibacter atlanticus,313588,cellular organisms;Bacteroidota;Flavobacteriia;Flavobacteriales;;Croceibacter,2,0.000121595,0.000755452
Croceibacterium atlanticum,1267766,cellular organisms;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Croceibacterium,13,0.000790364,0.00491044
Croceicoccus naphthovorans,1348774,cellular organisms;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Croceicoccus,64,0.00389102,0.0241745
Cupriavidus sp.,1873897,cellular organisms;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Cupriavidus,115,0.00699168,0.0434385
Cyanothece sp.,3100426,cellular organisms;Cyanobacteriota;Cyanophyceae;Gomontiellales;Cyanothecaceae;Cyanothece,1,6.07973e-05,0.000377726
Cyclobacterium amurskyense,320787,cellular organisms;Bacteroidota;Cytophagia;Cytophagales;Cyclobacteriaceae;Cyclobacterium,99,0.00601893,0.0373949
Cyclobacterium marinum,104,cellular organisms;Bacteroidota;Cytophagia;Cytophagales;Cyclobacteriaceae;Cyclobacterium,6,0.000364784,0.00226636
Cycloclasticus sp.,2024830,cellular organisms;Pseudomonadota;Gammaproteobacteria;Thiotrichales;Piscirickettsiaceae;Cycloclasticus,739,0.0449292,0.27914
Cycloclasticus zancles,1329899,cellular organisms;Pseudomonadota;Gammaproteobacteria;Thiotrichales;Piscirickettsiaceae;Cycloclasticus,806,0.0490026,0.304447
Deferribacter desulfuricans,197162,cellular organisms;Deferribacterota;Deferribacteres;Deferribacterales;Deferribacteraceae;Deferribacter,2,0.000121595,0.000755452
Denitrovibrio acetiphilus,118000,cellular organisms;Deferribacterota;Deferribacteres;Deferribacterales;Geovibrionaceae;Denitrovibrio,2,0.000121595,0.000755452
Desulfobacula toluolica,28223,cellular organisms;Thermodesulfobacteriota;Desulfobacteria;Desulfobacterales;Desulfobacteraceae;Desulfobacula,97,0.00589733,0.0366394
Desulfocapsa sulfexigens,65555,cellular organisms;Thermodesulfobacteriota;Desulfobulbia;Desulfobulbales;Desulfocapsaceae;Desulfocapsa,3,0.000182392,0.00113318
Desulfococcus multivorans,897,cellular organisms;Thermodesulfobacteriota;Desulfobacteria;Desulfobacterales;Desulfococcaceae;Desulfococcus,1177,0.0715584,0.444584
Desulfocurvibacter africanus,873,cellular organisms;Thermodesulfobacteriota;Desulfovibrionia;Desulfovibrionales;Desulfovibrionaceae;Desulfocurvibacter,301,0.0183,0.113696
Desulforamulus reducens,59610,cellular organisms;Bacillota;Clostridia;Eubacteriales;Peptococcaceae;Desulforamulus,5,0.000303986,0.00188863
Desulforapulum autotrophicum HRM2,177437,cellular organisms;Thermodesulfobacteriota;Desulfobacteria;Desulfobacterales;Desulfobacteraceae;Desulforapulum,8,0.000486378,0.00302181
Desulfotalea psychrophila,84980,cellular organisms;Thermodesulfobacteriota;Desulfobulbia;Desulfobulbales;Desulfocapsaceae;Desulfotalea,2,0.000121595,0.000755452
Desulfovibrio desulfuricans,876,cellular organisms;Thermodesulfobacteriota;Desulfovibrionia;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio,316,0.0192119,0.119361
Desulfurobacterium thermolithotrophum,64160,cellular organisms;Aquificota;Aquificia;Desulfurobacteriales;Desulfurobacteriaceae;Desulfurobacterium,187,0.0113691,0.0706348
Dinoroseobacter shibae,215813,cellular organisms;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Roseobacteraceae;Dinoroseobacter,23,0.00139834,0.0086877
Dokdonia donghaensis,326320,cellular organisms;Bacteroidota;Flavobacteriia;Flavobacteriales;;Dokdonia,30,0.00182392,0.0113318
Dokdonia sp.,2024995,cellular organisms;Bacteroidota;Flavobacteriia;Flavobacteriales;;Dokdonia,20,0.00121595,0.00755452
Donghicola sp.,1929294,cellular organisms;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Roseobacteraceae;Donghicola,7,0.000425581,0.00264408
Echinicola vietnamensis,390884,cellular organisms;Bacteroidota;Cytophagia;Cytophagales;Cyclobacteriaceae;Echinicola,90,0.00547175,0.0339954
Edwardsiella piscicida,1263550,cellular organisms;Pseudomonadota;Gammaproteobacteria;;Hafniaceae;Edwardsiella,57,0.00346544,0.0215304
Edwardsiella tarda,636,cellular organisms;Pseudomonadota;Gammaproteobacteria;;Hafniaceae;Edwardsiella,78,0.00474219,0.0294626
Enterobacter cloacae,550,cellular organisms;Pseudomonadota;Gammaproteobacteria;;Enterobacteriaceae;Enterobacter,19,0.00115515,0.0071768
Enterobacterales,91347,cellular organisms;Pseudomonadota;Gammaproteobacteria;;;,321,0.0195159,0.12125
Erythrobacter litoralis,39960,cellular organisms;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Erythrobacter,1790,0.108827,0.67613
Escherichia coli,562,cellular organisms;Pseudomonadota;Gammaproteobacteria;;Enterobacteriaceae;Escherichia,15,0.000911959,0.00566589
Ferrimonas balearica,44012,cellular organisms;Pseudomonadota;Gammaproteobacteria;Alteromonadales;Ferrimonadaceae;Ferrimonas,20,0.00121595,0.00755452
Ferroglobus placidus,54261,cellular organisms;Methanobacteriota;Archaeoglobi;Archaeoglobales;Archaeoglobaceae;Ferroglobus,2,0.000121595,0.000755452
Fervidobacterium pennivorans,93466,cellular organisms;Thermotogota;Thermotogae;Thermotogales;Fervidobacteriaceae;Fervidobacterium,1,6.07973e-05,0.000377726
Flagellimonas ruestringensis,111501,cellular organisms;Bacteroidota;Flavobacteriia;Flavobacteriales;;Flagellimonas,4,0.000243189,0.0015109
Flammeovirga sp.,1978526,cellular organisms;Bacteroidota;Cytophagia;Cytophagales;Flammeovirgaceae;Flammeovirga,965,0.0586694,0.364506
Flavobacteriaceae,49546,cellular organisms;Bacteroidota;Flavobacteriia;Flavobacteriales;;,713,0.0433484,0.269319
Flavobacteriaceae bacterium,1871037,cellular organisms;Bacteroidota;Flavobacteriia;Flavobacteriales;;,1,6.07973e-05,0.000377726
Flavobacterium psychrophilum,96345,cellular organisms;Bacteroidota;Flavobacteriia;Flavobacteriales;;Flavobacterium,225,0.0136794,0.0849884
Flavobacterium sp.,239,cellular organisms;Bacteroidota;Flavobacteriia;Flavobacteriales;;Flavobacterium,7,0.000425581,0.00264408
Flexistipes sinusarabici,2352,cellular organisms;Deferribacterota;Deferribacteres;Deferribacterales;Flexistipitaceae;Flexistipes,3,0.000182392,0.00113318
Formosa agariphila,320324,cellular organisms;Bacteroidota;Flavobacteriia;Flavobacteriales;;Formosa,123,0.00747806,0.0464603
Formosa haliotis,1555194,cellular organisms;Bacteroidota;Flavobacteriia;Flavobacteriales;;Formosa,133,0.00808604,0.0502376
Formosa sp.,2018467,cellular organisms;Bacteroidota;Flavobacteriia;Flavobacteriales;;Formosa,6,0.000364784,0.00226636
Francisella orientalis,299583,cellular organisms;Pseudomonadota;Gammaproteobacteria;Thiotrichales;Francisellaceae;Francisella,183,0.0111259,0.0691239
Francisella sp.,2047875,cellular organisms;Pseudomonadota;Gammaproteobacteria;Thiotrichales;Francisellaceae;Francisella,6,0.000364784,0.00226636
Geobacillus kaustophilus,1462,cellular organisms;Bacillota;Bacilli;Bacillales;Anoxybacillaceae;Geobacillus,66,0.00401262,0.0249299
Geobacillus sp.,1891658,cellular organisms;Bacillota;Bacilli;Bacillales;Anoxybacillaceae;Geobacillus,81,0.00492458,0.0305958
Geoglobus acetivorans,565033,cellular organisms;Methanobacteriota;Archaeoglobi;Archaeoglobales;Archaeoglobaceae;Geoglobus,1,6.07973e-05,0.000377726
Geoglobus ahangari,113653,cellular organisms;Methanobacteriota;Archaeoglobi;Archaeoglobales;Archaeoglobaceae;Geoglobus,4,0.000243189,0.0015109
Gillisia sp.,2018084,cellular organisms;Bacteroidota;Flavobacteriia;Flavobacteriales;;Gillisia,6,0.000364784,0.00226636
Glaciecola sp.,1905676,cellular organisms;Pseudomonadota;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Glaciecola,27,0.00164153,0.0101986
Gloeomargarita lithophora,1188228,cellular organisms;Cyanobacteriota;Cyanophyceae;Gloeomargaritales;Gloeomargaritaceae;Gloeomargarita,467,0.0283923,0.176398
Haemophilus influenzae,727,cellular organisms;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus,4,0.000243189,0.0015109
Hahella chejuensis,158327,cellular organisms;Pseudomonadota;Gammaproteobacteria;Oceanospirillales;Hahellaceae;Hahella,197,0.0119771,0.0744121
Haliangium ochraceum,80816,cellular organisms;Myxococcota;;Haliangiales;Kofleriaceae;Haliangium,3,0.000182392,0.00113318
Haloarcula hispanica,51589,cellular organisms;Methanobacteriota;Halobacteria;Halobacteriales;Haloarculaceae;Haloarcula,1,6.07973e-05,0.000377726
Haloarcula sp.,44098,cellular organisms;Methanobacteriota;Halobacteria;Halobacteriales;Haloarculaceae;Haloarcula,1,6.07973e-05,0.000377726
Halobacteriovorax marinus,97084,cellular organisms;Bdellovibrionota;Bacteriovoracia;Bacteriovoracales;Halobacteriovoraceae;Halobacteriovorax,157,0.00954517,0.059303
Haloferax gibbonsii,35746,cellular organisms;Methanobacteriota;Halobacteria;Halobacteriales;Haloferacaceae;Haloferax,3,0.000182392,0.00113318
Haloferax mediterranei,2252,cellular organisms;Methanobacteriota;Halobacteria;Halobacteriales;Haloferacaceae;Haloferax,138,0.00839002,0.0521262
Halolamina sediminis,1480675,cellular organisms;Methanobacteriota;Halobacteria;Halobacteriales;Haloferacaceae;Halolamina,54,0.00328305,0.0203972
Halolamina sp.,1940283,cellular organisms;Methanobacteriota;Halobacteria;Halobacteriales;Haloferacaceae;Halolamina,34,0.00206711,0.0128427
Halomonas elongata,2746,cellular organisms;Pseudomonadota;Gammaproteobacteria;Oceanospirillales;Halomonadaceae;Halomonas,21,0.00127674,0.00793225
Halomonas sp.,1486246,cellular organisms;Pseudomonadota;Gammaproteobacteria;Oceanospirillales;Halomonadaceae;Halomonas,1266,0.0769693,0.478201
Halomonas sp. 23_GOM-1509m,1380358,cellular organisms;Pseudomonadota;Gammaproteobacteria;Oceanospirillales;Halomonadaceae;Halomonas,838,0.0509481,0.316535
Halopseudomonas litoralis,797277,cellular organisms;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Halopseudomonas,10,0.000607973,0.00377726
Haloquadratum walsbyi,293091,cellular organisms;Methanobacteriota;Halobacteria;Halobacteriales;Haloferacaceae;Haloquadratum,66,0.00401262,0.0249299
Halorhabdus tiamatea,430914,cellular organisms;Methanobacteriota;Halobacteria;Halobacteriales;Haloarculaceae;Halorhabdus,332,0.0201847,0.125405
Helicobacter cetorum,138563,cellular organisms;Campylobacterota;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Helicobacter,1,6.07973e-05,0.000377726
Helicobacter pylori,210,cellular organisms;Campylobacterota;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Helicobacter,7,0.000425581,0.00264408
Helicobacter sp.,218,cellular organisms;Campylobacterota;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Helicobacter,2,0.000121595,0.000755452
Hippea maritima,84405,cellular organisms;Campylobacterota;Desulfurellia;Desulfurellales;Hippeaceae;Hippea,114,0.00693089,0.0430608
Hirschia baltica,2724,cellular organisms;Pseudomonadota;Alphaproteobacteria;Hyphomonadales;Hyphomonadaceae;Hirschia,66,0.00401262,0.0249299
Hoeflea sp.,1940281,cellular organisms;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Hoeflea,62,0.00376943,0.023419
Hydrogenophaga sp.,1904254,cellular organisms;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Hydrogenophaga,547,0.0332561,0.206616
Hydrogenovibrio crunogenus,39765,cellular organisms;Pseudomonadota;Gammaproteobacteria;Thiotrichales;Piscirickettsiaceae;Hydrogenovibrio,43,0.00261428,0.0162422
Hyperthermus butylicus,54248,cellular organisms;Thermoproteota;Thermoprotei;Desulfurococcales;Pyrodictiaceae;Hyperthermus,4575,0.278147,1.7281
Hyphomicrobium nitrativorans,1427356,cellular organisms;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Hyphomicrobiaceae;Hyphomicrobium,827,0.0502793,0.31238
Hyphomonas neptunium,81032,cellular organisms;Pseudomonadota;Alphaproteobacteria;Hyphomonadales;Hyphomonadaceae;Hyphomonas,146,0.0088764,0.055148
Hyphomonas sp.,87,cellular organisms;Pseudomonadota;Alphaproteobacteria;Hyphomonadales;Hyphomonadaceae;Hyphomonas,140,0.00851162,0.0528817
Idiomarina loihiensis,135577,cellular organisms;Pseudomonadota;Gammaproteobacteria;Alteromonadales;Idiomarinaceae;Idiomarina,39,0.00237109,0.0147313
Ignicoccus hospitalis,160233,cellular organisms;Thermoproteota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Ignicoccus,6,0.000364784,0.00226636
Ignicoccus islandicus,54259,cellular organisms;Thermoproteota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Ignicoccus,155,0.00942358,0.0585476
Ilumatobacter coccineus,467094,cellular organisms;Actinomycetota;Acidimicrobiia;Acidimicrobiales;Ilumatobacteraceae;Ilumatobacter,2632,0.160018,0.994175
